Hero Name,Hero Class,Town
Lacus,Planeswalker,Conflux
Monere,Planeswalker,Conflux
Erdamon,Planeswalker,Conflux
Fiur,Planeswalker,Conflux
Kalt,Planeswalker,Conflux
Luna,Elementalist,Conflux
Brissa,Elementalist,Conflux
Ciele,Elementalist,Conflux
Labetha,Elementalist,Conflux
Inteus,Elementalist,Conflux
Aenain,Elementalist,Conflux
Gelare,Elementalist,Conflux
Grindan,Elementalist,Conflux
Corkes,Captain,Cove
Jeremy,Captain,Cove
Illor,Captain,Cove
Derek,Captain,Cove
Elmore,Captain,Cove
Leena,Captain,Cove
Anabel,Captain,Cove
Cassiopeia,Captain,Cove
Miriam,Captain,Cove
Tark,Captain,Cove
Bidley,Captain,Cove
Manfred,Navigator,Cove
Zilare,Navigator,Cove
Astra,Navigator,Cove
Casmetra,Navigator,Cove
Dargem,Navigator,Cove
Andal,Navigator,Cove
Eovacius,Navigator,Cove
Spint,Navigator,Cove
Henrietta,Mercenary,Factory
Sam,Mercenary,Factory
Tancred,Mercenary,Factory
Melchior,Mercenary,Factory
Floribert,Mercenary,Factory
Wynona,Mercenary,Factory
Dury,Mercenary,Factory
Morton,Mercenary,Factory
Tavin,Mercenary,Factory
Murdoch,Mercenary,Factory
Celestine,Artificer,Factory
Todd,Artificer,Factory
Agar,Artificer,Factory
Bertram,Artificer,Factory
Wrathmont,Artificer,Factory
Ziph,Artificer,Factory
Victoria,Artificer,Factory
Eanswythe,Artificer,Factory
Frederick,Artificer,Factory
Dhuin,Chieftain,Bulwark
Oidana,Chieftain,Bulwark
Neia,Chieftain,Bulwark
Eikthurn,Chieftain,Bulwark
Creyle,Chieftain,Bulwark
Spadum,Chieftain,Bulwark
Kynr,Chieftain,Bulwark
Ergon,Chieftain,Bulwark
Kriv,Elder,Bulwark
Glacius,Elder,Bulwark
Sial,Elder,Bulwark
Dalton,Elder,Bulwark
Biarma,Elder,Bulwark
Akka,Elder,Bulwark
Vehr,Elder,Bulwark
Allora,Elder,Bulwark
Haugir,Elder,Bulwark
